id,latitude,longitude,FT,LA,LDMC,SLA,S,C,R,Strategy,color,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
7075,43.3779,2.54038,98.25,288.6425031,174.5105145,30.85932375,7.125860305,17.78956868,75.08457102,R/CR,#1D0F21,109,93,36,5650,251,-2,253,77,183,183,39,849,88,45,15,237,180,180,220
7081,40.2077,-8.42639,45,284.2232927,84.68184402,68.35135861,0,12.29707243,87.70292757,R,#0F0141,159,101,43,4309,289,58,231,103,212,214,103,951,133,10,53,382,64,68,382
7092,49.416,2.823,48.5,455.5675059,90.20404187,52.69507779,0,18.17613609,81.82386391,R/CR,#1E0133,105,86,36,5518,235,0,235,111,68,175,33,622,59,42,10,170,131,162,150
7098,47,5,26.25,137.2610134,95.5170719,73.7651907,0,7.112664921,92.88733508,R,#02014E,109,89,33,6342,253,-11,264,156,70,189,25,772,77,52,13,209,162,202,180
7186,54.8969,23.8924,47.75,528.0652435,87.33486811,60.73031063,0,18.42330736,81.57669264,R/CR,#1F0132,65,79,26,8077,224,-78,302,166,-33,166,-40,614,77,28,28,217,99,217,112
7270,52.24,4.45,62,552.1164014,103.9010588,39.02912596,0,23.3417619,76.6582381,R/CR,#2C0125,94,61,30,5241,206,3,203,108,47,161,31,781,87,44,21,243,146,205,185
7296,59,29,44,376.1407696,94.49846707,57.74786872,0,15.67103995,84.32896005,R,#180139,46,73,22,8954,219,-107,326,145,-63,161,-69,677,85,30,32,239,104,234,121
7307,48.0653,-2.96591,30.25,245.7353727,72.83178653,86.53529292,0,10.15118549,89.84881451,R,#0A0146,111,67,36,4288,210,28,182,66,163,167,57,871,106,45,27,302,149,172,285
7317,49.1632,-123.137,50.25,604.8585685,80.80571822,49.40990487,0,21.66538308,78.33461692,R/CR,#27012A,100,80,36,4984,223,4,219,44,165,165,38,1142,174,33,51,494,119,119,453
7320,49.4424,1.09849,58,569.6378799,81.38155879,55.96607276,0,19.85705264,80.14294736,R/CR,#23012E,107,86,38,5067,232,7,225,78,71,172,43,673,72,43,14,202,144,153,177
7347,52,36,50,579.2978317,101.0724711,47.02248327,0,21.71876635,78.28123365,R/CR,#27012A,55,85,23,10007,240,-121,361,179,-67,179,-74,625,81,33,26,218,110,218,126
7373,34.43,136.31,50.75,581.0248236,105.0034098,32.19874962,0,26.69369618,73.30630382,R/CR,#34011D,140,87,28,7686,294,-10,304,239,43,239,43,2371,340,67,49,910,213,910,213
