id,Name,Country,Latitude (º),Longitude (º),Altitude (meters),drought_index,PC1,PC2,PC3,Group,Survival_insitu_Madrid,Survival_insitu_Tübingen
9503,11C1,UK,55.8877,-3.21072,233,NA,0.00863406,-0.0254388,0.00202719,NEEurope,NA,NA
9506,IP-Alo-0,POR,40.11,-7.47,785,3.02E-05,-0.0204807,-0.0248716,0.0101828,NWSpain,0.333333333,0.875
9507,IP-Coa-0,POR,38.45,-7.5,199,0.000717462,-0.000785047,-0.0234605,0.0210515,SMediter,0.666666667,0.714285714
9508,IP-Mos-1,POR,40.04,-7.11,584,NA,-0.0540645,-0.0209654,0.00521465,NWSpain,NA,NA
9509,IP-Reg-0,POR,39.29,-7.4,539,NA,-0.0246915,-0.0273853,0.016106,NWSpain,NA,NA
9510,IP-Rei-0,POR,38.75,-7.59,551,0.000172624,-0.0195888,-0.0275298,0.0212702,SMediter,0.857142857,0.875
9511,IP-Vav-0,POR,38.53,-8.02,223,NA,-0.013846,-0.0308741,0.020765,SMediter,NA,NA
9512,IP-Vid-1,POR,38.22,-7.84,240,1.50E-05,-0.0179229,-0.030838,0.0225165,SMediter,0.333333333,0.857142857
9513,IP-Adc-5,ESP,38.77,-4.07,687,NA,-0.0415621,-0.021945,0.0113724,NWSpain,NA,NA
9514,IP-Adm-0,ESP,39.15,-4.54,681,NA,-0.0153865,-0.0305453,0.027636,SMediter,NA,NA
9515,IP-Ala-0,ESP,39.72,-6.89,204,NA,-0.0120092,-0.0320336,0.0247424,SMediter,NA,NA
9517,IP-All-0,ESP,42.19,-7.8,471,3.16E-05,-0.01052,-0.0219707,0.0122159,NWSpain,0.6,0.857142857
9518,IP-Alm-0,ESP,39.88,-0.36,851,2.41E-05,-0.0890354,-0.0123461,-0.0238443,NESpain,0.166666667,0.857142857
9519,IP-Ang-0,ESP,41.94,2.64,245,NA,0.00283675,-0.0256307,0.00250291,NESpain,NA,NA
9520,IP-Ara-4,ESP,41.7,-3.68,837,-0.00032822,-0.00324923,-0.0258269,0.006317,NWSpain,0.142857143,0.714285714
9521,IP-Bar-1,ESP,41.43,2.13,296,0.000168459,-0.00118679,-0.026684,-0.00363987,NESpain,0.333333333,0.857142857
9522,IP-Bea-0,ESP,36.52,-5.27,204,4.20E-05,-0.00787355,-0.03022,0.0296181,SMediter,0.5,1
9523,IP-Ben-0,ESP,38.37,-2.66,704,0.000392855,-0.0101556,-0.0248657,0.0141667,NWSpain,0.166666667,1
9524,IP-Ber-0,ESP,42.52,-0.56,1075,0.000364199,-0.00849387,-0.0228156,-0.0234409,NESpain,0.571428571,0.857142857
9525,IP-Bis-0,ESP,42.49,0.54,1455,NA,-0.0147861,-0.0180012,-0.0385817,NESpain,NA,NA
